Tag No,Tag Description,Tag Type,PSM Critical,Unit,Service,Line no ,Manufacturer,Model,P&ID,Pressure maximum(kg/cm2g) ,Temperature maximum (C) ,ABCInd
LT-623A-Z,D-663 LEVEL,LEVEL IMAGE TAG,,,D-663 LEVEL,,,,,,,
LT-635C,D-664 LEVEL,HYDROSTATIC HEAD,N,,D-664 LEVEL,,Yokogawa,EJX110A,,17.8,-45,A
LT-7605A-Y,D-761,DIFF. PRESSURE,,,D-761,,,,,,,
LT-7605B-Y,D-761,DIFF. PRESSURE,,,D-761,,,,,,,
LT-8005C-Y,D-801 HOT SEPARATOR DRUM,LEVEL IMAGE TAG,,,D-801 HOT SEPARATOR DRUM,,,,,,,
LT-8005C-Z,D-801 HOT SEPARATOR DRUM,LEVEL IMAGE TAG,,,D-801 HOT SEPARATOR DRUM,,,,,,,
LT-8301B-Y,D-833 GHU-2 SEPARATOR DRUM,LEVEL IMAGE TAG,,,D-833 GHU-2 SEPARATOR DRUM,,,,,,,
LT-8765,P-870A SEAL PLAN,HYDROSTATIC HEAD,N,,P-870A SEAL PLAN,,,,,,,B
XZOL-7617B,COLD DEPRESSURE GAS FR. M-760B,CONTROL VALVE POSITION,,,COLD DEPRESSURE GAS FR. M-760B,,,,,,,
XZO-7615B,PRESSURIZING GAS FROM ORU TO M-760B,CONTROL VALVE POSITION,Y,,PRESSURIZING GAS FROM ORU TO M-760B,,WESTLOCK,2249-BY-00-2200-00,,,,
XZO-7620,N2 TO D-760,CONTROL VALVE POSITION,Y,,N2 TO D-760,,WESTLOCK,2249-BY-00-2200-00,,,,
XZOL-7619,D-760 TO REGEN GAS RETURN,CONTROL VALVE POSITION,,,D-760 TO REGEN GAS RETURN,,,,,,,
XV-7619,D-760 TO REGEN GAS RETURN,BALL CONTROL VALVE,Y,,D-760 TO REGEN GAS RETURN,"1 1/2""HV 7612-A13A",KTM,,,,,
LI-7603,D-760,ANALYZER IMAGE TAG,,,D-760,,,,,,,
PSV-7614B,F-760B,PRESSURE SAFETY VALVE,Y,,,,Anderson Greenwood C,1 E 2 JOS-E-SPL-15-J,,,,
HZOL-7600,D-761  TO P-760A/B,CONTROL VALVE POSITION,,,D-761  TO P-760A/B,,,,,,,
PZO-7608,D-761 TO WET FLARE,CONTROL VALVE POSITION,Y,,D-761 TO WET FLARE,,,,,,,
PZOL-7608,D-761 TO WET FLARE,CONTROL VALVE POSITION,,,D-761 TO WET FLARE,,,,,,,
XA-P760B,P-760B FAULT ALARM,MOTOR SIGNAL,,,P-760B FAULT ALARM,,,,,,,
LT-7605B,D-761,HYDROSTATIC HEAD,N,,D-761,,Yokogawa,EJX118A,,5.2,68,
FT-7602C,P-760A/B DISCH.,DIFF. PRESSURE,,,P-760A/B DISCH.,"10""HL 7615-B13A",Yokogawa,EJX110A,,,,
PG-7613A,TREATED C2 FROM M-761A,PRESSURE GAUGE,N,,TREATED C2 FROM M-761A,"8""HV 7621-B2A-H",WIKA,232.30.100,,46.5,50,
XZCL-7627A,REGEN. GAS TO M-761A,CONTROL VALVE POSITION,,,REGEN. GAS TO M-761A,,,,,,,
XZO-7629A,HOT/COLD REGEN. GAS FR. M-761A TO ORU,CONTROL VALVE POSITION,Y,,HOT/COLD REGEN. GAS FR. M-761A TO ORU,,WESTLOCK,2249-BY-00-2200-00,,,,
XZCL-7629A,HOT/COLD REGEN. GAS FR. M-761A TO ORU,CONTROL VALVE POSITION,,,HOT/COLD REGEN. GAS FR. M-761A TO ORU,,,,,,,
HEVX-8006,D-802 TO D-835,OTHER ANALYZER,,,D-802 TO D-835,,,,,,,
HS-108B,Cracked gas Skip Stream,LOCAL PANEL,Y,,Cracked gas Skip Stream,,,,,,,C
HS-118B-BS-A,Emergency override transfer line valve,LOCAL PANEL,Y,,Emergency override transfer line valve,,,,,,,C
HS-118G-BS-C,Emergency override transfer line valve,LOCAL PANEL,Y,,Emergency override transfer line valve,,,,,,,C
HS-1312A,SOFT SWITCH TO OPEN / CLOSE FOR XV-1312A,LOCAL PANEL,,,SOFT SWITCH TO OPEN / CLOSE FOR XV-1312A,,,,,,,
HS-1313C,SOFT SWITCH TO OPEN / CLOSE FOR XV-1313C,LOCAL PANEL,,,SOFT SWITCH TO OPEN / CLOSE FOR XV-1313C,,,,,,,
HS-146C,Feed forward control on / off,OTHER IMAGE TAG,Y,,Feed forward control on / off,,,,,,,C
HS-1542,SOFT SWITCH TO OPEN / CLOSE FOR XV-1542,LOCAL PANEL,,,SOFT SWITCH TO OPEN / CLOSE FOR XV-1542,,,,,,,
HS-1611A,SOFT SWITCH TO OPEN / CLOSE FOR XV-1611A,LOCAL PANEL,,,SOFT SWITCH TO OPEN / CLOSE FOR XV-1611A,,,,,,,
HS-1709,TOLUENE (TP-G09),LOCAL PANEL,,,TOLUENE (TP-G09),,,,,,,
HS-301B-CL,HV-301 CLOSE SWITCH IN FIELD,LOCAL PANEL,Y,,HV-301 CLOSE SWITCH IN FIELD,,,,,,,C
HS-4114B,FOAM LINE FROM HEADER CONTROL FOR TK-1010B,LOCAL PANEL,,,FOAM LINE FROM HEADER CONTROL FOR TK-1010B,,*,Note : 1,,,,
HS-4711A,,LOCAL PANEL,,,,,*,Note : 1,,,,
HS-608A-CL,HV-608 CLOSE SWITCH IN DCS,OTHER IMAGE TAG,,,HV-608 CLOSE SWITCH IN DCS,,,,,,,
HS-7502B,E-751  TO P-751A/B,LOCAL PANEL,Y,,E-751  TO P-751A/B,,,,,,,
HS-7675-LP,H-760 LP,OTHER ANALYZER,,,H-760 LP,,,,,,,
HS-8007C1,E-801 TO FLARE,LOCAL PANEL,,,E-801 TO FLARE,,,,,,,
HS-8007C2,E-801 TO FLARE,LOCAL PANEL,,,E-801 TO FLARE,,,,,,,
HS-8300A,D-833 OUT TOP,LOCAL PANEL,,,D-833 OUT TOP,,,,,,,
HS-P1560B-AM,MIXED XYLENE PUMP P-1560B MCC SIGNAL (AUTO/MANUAL),OTHER IMAGE TAG,,,MIXED XYLENE PUMP P-1560B MCC SIGNAL (AUTO/MANUAL),,,,,,,
HS-P1560B-SP,MIXED XYLENE EXPORT PUMP P-1560B SOFT STOP COMMAND,OTHER IMAGE TAG,,,MIXED XYLENE EXPORT PUMP P-1560B SOFT STOP COMMAND,,,,,,,
HS-P1610A-AM,CRACKER BOTTOM PUMP P-1610A MCC SIGNAL (AUTO/MANUAL),OTHER IMAGE TAG,,,CRACKER BOTTOM PUMP P-1610A MCC SIGNAL (AUTO/MANUAL),,,,,,,
HS-P3032B-SP,SUMP PUMP P-3032B SOFT STOP COMMAND,OTHER IMAGE TAG,,,SUMP PUMP P-3032B SOFT STOP COMMAND,,,,,,,
HS-P3033B-SP,SUMP PUMP P-3033B SOFT STOP COMMAND,OTHER IMAGE TAG,,,SUMP PUMP P-3033B SOFT STOP COMMAND,,,,,,,
HS-P3080A-AM,,LOCAL PANEL,,,,,,,,,,
