Tag No,Tag Description,Tag Type,PSM Critical,Unit,Service,Line no ,Manufacturer,Model,P&ID,Pressure maximum(kg/cm2g) ,Temperature maximum (C) ,ABCInd
I3-XJB-M6326,0,COMMUNICATION CABLE,,,,,,,,,,
I4-AJB-AT602,0,CABINET,,,,,,,,,,
I4-DJB-AT303,0,CABINET,,,,,,,,,,
I4-PJB-AT303,0,CABINET,,,,,,,,,,
O2-AJB-E02A,0,COMMUNICATION CABLE,,,,,,,,,,
O2-AJB-E02B,0,COMMUNICATION CABLE,,,,,,,,,,
O2-DJB-D02A,0,COMMUNICATION CABLE,,,,,,,,,,
O2-DJB-D54C,0,COMMUNICATION CABLE,,,,,,,,,,
O2-DJB-E04B,0,COMMUNICATION CABLE,,,,,,,,,,
O2-DJB-E04C,0,COMMUNICATION CABLE,,,,,,,,,,
O2-DJB-E05B,0,COMMUNICATION CABLE,,,,,,,,,,
O2-SJB-D03,0,COMMUNICATION CABLE,,,,,,,,,,
O2-SJB-D52A,0,COMMUNICATION CABLE,,,,,,,,,,
O5-LCP-FFG-HP-B_ANALOG,0,COMMUNICATION CABLE,,,,,,,,,,
O5-LCP-FFG-HP-B_DIGITAL,0,COMMUNICATION CABLE,,,,,,,,,,
O6-AJB-M6423,0,JUNCTION BOX,,,,,,,,,,
O6-APL-M6821P,0,JUNCTION BOX,,,,,,,,,,
O6-PPL-P6221M,0,JUNCTION BOX,,,,,,,,,,
O6-PPL-P6225M,0,JUNCTION BOX,,,,,,,,,,
F2-MRD-015,ORU-DCS MARSHALLING CABINET,CONTROL CABINET,,,,,,,,,,
AH15-PDB-002 ( FEEDER 1 ),0,CABINET,,,,,,,,,,
AH15-PDB-002 ( FEEDER 2 ),0,CABINET,,,,,,,,,,
A-MCC01A-06 / G10.1,0,CABINET,,,,,,,,,,
A-MCC01A-09 / G04.3,0,CABINET,,,,,,,,,,
A-MCC01B-05 / G04.4,0,CABINET,,,,,,,,,,
A-MCC01B-07 / G25.1,0,CABINET,,,,,,,,,,
A-MV01A AMV2412,0,CABINET,,,,,,,,,,
ASIU ENCLOSURE (AH-03),0,CABINET,,,,,,,,,,
CR-DCS-005_TB91,0,JUNCTION BOX,,,,,,,,,,
CR-NW-101_TB91,0,JUNCTION BOX,,,,,,,,,,
CR-PC-002_TB91,0,JUNCTION BOX,,,,,,,,,,
HS-4032B,0,HAND SWITCH,,,,,,,,,,
HS-4031C,0,HAND SWITCH,,,,,,,,,,
HS-4032C,0,HAND SWITCH,,,,,,,,,,
PSV-2082A,Angle filled system temp reg,PRESSURE SAFETY VALVE,,,,,,,,,,
PSV-2081B,Angle filled system temp reg,PRESSURE SAFETY VALVE,,,,,,,,,,
PDIT-2038B,0,PRESSURE DIFFERENTIAL TRANSMITTER,,,,,,,,,,
PSV-015A,DMDS from pump P-005,PRESSURE SAFETY VALVE,Y,,,,,,,,,A
PSV-025B,DMDS injection P-005B,PRESSURE SAFETY VALVE,Y,,,,,,,,,A
SC-102A,0,MOTOR SIGNAL,,,,,,,,,,
HS-136B,0,HAND SWITCH,,,,,,,,,,
HS-151B,0,HAND SWITCH,,,,,,,,,,
HS-155B,0,HAND SWITCH,,,,,,,,,,
LG-110C,0,LEVEL GAUGE,,,,,,,,,,
AT-106C,0,MAIN ANALYZER,,,,,,,,,,
HS-134C,0,HAND SWITCH,,,,,,,,,,
SC-102D,0,MOTOR SIGNAL,,,,,,,,,,
AT-102D,0,MAIN ANALYZER,,,,,,,,,,
AT-108D,0,MAIN ANALYZER,,,,,,,,,,
HS-134D,0,HAND SWITCH,,,,,,,,,,
AT-108E,0,MAIN ANALYZER,,,,,,,,,,
HS-155E,0,HAND SWITCH,,,,,,,,,,
AT-106F,0,MAIN ANALYZER,,,,,,,,,,
HS-134F,0,HAND SWITCH,,,,,,,,,,
AT-101R,0,MAIN ANALYZER,,,,,,,,,,
PG-111R,0,PRESSURE GAUGE,,,,,,,,,,
HSDV-140X-B,0,HAND SWITCH,,,,,,,,,,
HZO-7111,0,ON-OFF VALVE POSITION,,,,,,,,,,
PZC-7604B,0,CONTROL VALVE POSITION,,,,,,,,,,
HS-7701,0,HAND SWITCH,,,,,,,,,,
HS-7800,0,HAND SWITCH,,,,,,,,,,
HZO-2640,0,ON-OFF VALVE POSITION,,,,,,,,,,
HS-P1560B,0,HAND SWITCH,,,,,,,,,,
TT-6322,0,TEMPERATURE TRANSMITTER,,,,,,,,,,
PT-6322,0,PRESSURE TRANSMITTER,,,,,,,,,,
ZAHH-392-04A-1,HP COMPRESSOR AXIAL POSITION (A),ANALYZER IMAGE TAG,,,HP COMPRESSOR AXIAL POSITION (A),,,,,,,
ZAHH-492-01A-1,TURBINE AXIAL POSITION (A),ANALYZER IMAGE TAG,,,TURBINE AXIAL POSITION (A),,,,,,,
ZAHH-492-02A-1,COMP. AXIAL POSITION H,ANALYZER IMAGE TAG,,,COMP. AXIAL POSITION H,,,,,,,
ZAHH-692-01A-1,TURBINE AXIAL POSITION (A),ANALYZER IMAGE TAG,,,TURBINE AXIAL POSITION (A),,,,,,,
ZAHH-692-02B-1,COMPRESSOR AXIAL POSITION(B),ANALYZER IMAGE TAG,,,COMPRESSOR AXIAL POSITION(B),,,,,,,
ZE-692-02A,COMPRESSOR AXIAL POSITION(A),VIBRATION & SPEED,,,COMPRESSOR AXIAL POSITION(A),,,,,,,
ZI-392-03A,LP COMPRESSOR AXIAL POSITION (A),ANALYZER IMAGE TAG,,,LP COMPRESSOR AXIAL POSITION (A),,,,,,,
ZIM-492-02A,COMPRESSOR AXIAL POSITION(A),VIBRATION & SPEED,,,COMPRESSOR AXIAL POSITION(A),,,,,,,
ZT-2021A-3,,VIBRATION & SPEED,,,,,,,,,,
ZT-392-02A,MP COMPRESSOR AXIAL POSITION (A),VIBRATION & SPEED,,,MP COMPRESSOR AXIAL POSITION (A),,,,,,,
ZT-FV2051C-S,,VIBRATION & SPEED,,,,,AEE,,,,,
ZT-FV2206,,VIBRATION & SPEED,,,,,AEE,,,,,
ZT-LV2001,,VIBRATION & SPEED,,,,,AEE,,,,,
ZT-PV2003,,VIBRATION & SPEED,,,,,AEE,,,,,
ZT-PV2004,,VIBRATION & SPEED,,,,,AEE,,,,,
ZT-PV2031,,VIBRATION & SPEED,,,,,AEE,,,,,
PSV-1214B,0,PRESSURE SAFETY VALVE,,,,,,,,,,
PSV-2410A,0,PRESSURE SAFETY VALVE,,,,,,,,,,
PSV-3005A,0,PRESSURE SAFETY VALVE,,,,,,,,,,
PSV-4021,0,PRESSURE SAFETY VALVE,,,,,,,,,,
PT-130X-A,0,PRESSURE TRANSMITTER,,,,,,,,,,
TE-134X-B,0,RTD,,,,,,,,,,
TE-136X-A,0,RTD,,,,,,,,,,
TE-138X-B,0,RTD,,,,,,,,,,
DSH-2007A,LP1 Steam,DESUPERHEAT,Y,,,,,,,,,C
PCV-4003C,0,PCV,,,,,,,,,,
HS-4031D,0,HAND SWITCH,,,,,,,,,,
PR-4031D,0,PRESSURE IMAGE TAG,,,,,,,,,,
HS-4034D,0,HAND SWITCH,,,,,,,,,,
HS-4091B,0,HAND SWITCH,,,,,,,,,,
PCV-2081B,0,PCV,,,,,,,,,,
PSV-025C,DMDS injection P-005,PRESSURE SAFETY VALVE,Y,,,,,,,,,A
AT-108,0,MAIN ANALYZER,,,,,,,,,,
HS-156A,0,HAND SWITCH,,,,,,,,,,
HS-147B,0,HAND SWITCH,,,,,,,,,,
PG-180E,0,PRESSURE GAUGE,,,,,,,,,,
AT-101D,0,MAIN ANALYZER,,,,,,,,,,
HS-156D,0,HAND SWITCH,,,,,,,,,,
LG-101E,0,LEVEL GAUGE,,,,,,,,,,
SC-102R,0,MOTOR SIGNAL,,,,,,,,,,
HS-150G,0,HAND SWITCH,,,,,,,,,,
HZO-7112,0,ON-OFF VALVE POSITION,,,,,,,,,,
HS-7202,0,HAND SWITCH,,,,,,,,,,
HS-7663A,0,HAND SWITCH,,,,,,,,,,
XZO-7663A,0,ON-OFF VALVE POSITION,,,,,,,,,,
PZC-7604A,0,CONTROL VALVE POSITION,,,,,,,,,,
PG-7629B,0,PRESSURE GAUGE,,,,,,,,,,
HY-7623A,0,CONTROL VALVE POSITION,,,,,,,,,,
HS-8354,0,HAND SWITCH,,,,,,,,,,
HS-8311,0,HAND SWITCH,,,,,,,,,,
HS-P1210C,0,HAND SWITCH,,,,,,,,,,
HS-P1561A,0,HAND SWITCH,,,,,,,,,,
PT-1744,0,PRESSURE TRANSMITTER,,,,,,,,,,
PG-6322A,0,PRESSURE GAUGE,,,,,,,,,,
TT-6325B,0,TEMPERATURE TRANSMITTER,,,,,,,,,,
HV-6404A,0,BALL CONTROL VALVE,,,,,,,,,,
RO-6405B,0,RO,,,,,,,,,,
PG-6001A,0,PRESSURE GAUGE,,,,,,,,,,
PSV-6425,Angle filled system temp reg,PRESSURE SAFETY VALVE,,,,,,,,,,
TT-6426,0,TEMPERATURE TRANSMITTER,,,,,,,,,,
XV-108A,Burners main leak test valve,BALL CONTROL VALVE,Y,,Burners main leak test valve,"3/4""FG 1A10-A13A-T1",KTM,EB12-625E,,12,100,A
XV-108D,Burners main leak test valve,BALL CONTROL VALVE,Y,,Burners main leak test valve,"3/4""FG 1D10-A13A-T1",KTM,EB12-625E,,12,100,A
XV-108E,Burners main leak test valve,BALL CONTROL VALVE,Y,,Burners main leak test valve,"3/4""FG 1E10-A13A-T1",KTM,EB12-625E,,12,100,A
XV-109G,Bottom burners leak test valve,BALL CONTROL VALVE,Y,,Bottom burners leak test valve,"3/4""FG 1G10-A13ANone",KTM,EB12-625E,,12,100,A
XV-112B-02,FG to supervised burner #2,BALL CONTROL VALVE,Y,,FG to supervised burner #2,"1-1/2""FG 1B04-A13ANone",KTM,EB12-625E,,,,A
XV-112B-04,FG to supervised burner #4,BALL CONTROL VALVE,Y,,FG to supervised burner #4,"1-1/2""FG 1B04-A13ANone",KTM,EB12-625E,,,,A
XV-112B-10,FG to supervised burner #10,BALL CONTROL VALVE,Y,,FG to supervised burner #10,"1-1/2""FG 1B05-A13ANone",KTM,EB12-625E,,,,A
XV-112E-10,FG to supervised burner #10,BALL CONTROL VALVE,Y,,FG to supervised burner #10,"1-1/2""FG 1E05-A13ANone",KTM,EB12-625E,,,,A
XV-112G-06,FG to supervised burner #6,BALL CONTROL VALVE,Y,,FG to supervised burner #6,"1-1/2""FG 1G05-A13ANone",KTM,EB12-625E,,,,A
XV-114R,FG side wall burners ESD valve,BALL CONTROL VALVE,Y,,FG side wall burners ESD valve,"6""FG 1R06-A13A-T1",KTM,E0126-625H,,,,A
XV-115F,BFW to steam drum,GLOBE CONTROL VALVE,Y,,BFW to steam drum,"6""BFW 1F01-F11T-H",W&T,W&T,,190,200,A
XV-117G,Decoke effluent from furnace,MOV,Y,,Decoke effluent from furnace,,Rotork,IQ,,,,A
XZTX-504B,R-520A/B OUTLET TO E-524,OTHER ANALYZER,,,R-520A/B OUTLET TO E-524,,,,,,,
XZTX-603B,E-620 SHELL SIDE OUTLET,OTHER ANALYZER,,,E-620 SHELL SIDE OUTLET,,,,,,,
XZTX-604A,R-620A FEED H2,OTHER ANALYZER,,,R-620A FEED H2,,,,,,,
XZTX-605,E-645 QW FEED,OTHER ANALYZER,,,E-645 QW FEED,,,,,,,
XZTX-7635,C2 FEED TO E-760,OTHER ANALYZER,,,C2 FEED TO E-760,,,,,,,
XZTX-7643,N2 PURGE BLOCK VALVE TO H760 INLET,OTHER ANALYZER,,,N2 PURGE BLOCK VALVE TO H760 INLET,,,,,,,
YH-C835B,C-835B GHU-2 RECYCLE GAS COMPRESSOR,OTHER INSTRUMENT,Y,,C-835B GHU-2 RECYCLE GAS COMPRESSOR,,,,,,,C
ZAH-392-02,MP COMPRESSOR AXIAL POSITION (A),ANALYZER IMAGE TAG,,,MP COMPRESSOR AXIAL POSITION (A),,,,,,,
ZAH-392-04A,HP COMPRESSOR AXIAL POSITION (A),ANALYZER IMAGE TAG,,,HP COMPRESSOR AXIAL POSITION (A),,,,,,,
ZAHH-492-01B,TURBINE AXIAL POSITION (B),ANALYZER IMAGE TAG,,,TURBINE AXIAL POSITION (B),,,,,,,
ZAHH-692-01B-1,TURBINE AXIAL POSITION (B),ANALYZER IMAGE TAG,,,TURBINE AXIAL POSITION (B),,,,,,,
ZE-392-03B,LP COMPRESSOR AXIAL POSITION (B),VIBRATION & SPEED,,,LP COMPRESSOR AXIAL POSITION (B),,,,,,,
ZI-392-02B,MP COMPRESSOR AXIAL POSITION (B),ANALYZER IMAGE TAG,,,MP COMPRESSOR AXIAL POSITION (B),,,,,,,
ZI-692-02A,COMPRESSOR AXIAL POSITION(A),ANALYZER IMAGE TAG,,,COMPRESSOR AXIAL POSITION(A),,,,,,,
ZIM-392-01A,TURBINE AXIAL POSITION (A),VIBRATION & SPEED,,,TURBINE AXIAL POSITION (A),,,,,,,
ZIM-692-01A,TURBINE AXIAL POSITION (A),VIBRATION & SPEED,,,TURBINE AXIAL POSITION (A),,,,,,,
ZT-2021B-1,,VIBRATION & SPEED,,,,,,,,,,
ZT-392-02B,MP COMPRESSOR AXIAL POSITION (B),VIBRATION & SPEED,,,MP COMPRESSOR AXIAL POSITION (B),,,,,,,
ZT-392-03A,LP COMPRESSOR AXIAL POSITION (A),VIBRATION & SPEED,,,LP COMPRESSOR AXIAL POSITION (A),,,,,,,
ZT-392-04B,HP COMPRESSOR AXIAL POSITION (B),VIBRATION & SPEED,,,HP COMPRESSOR AXIAL POSITION (B),,,,,,,
I2-AJB-D125 (BV),0,JUNCTION BOX,,,,,,,,,,
I2-AJB-E01 (30P),0,JUNCTION BOX,,,,,,,,,,
I2-DJB-F01 (20P),0,JUNCTION BOX,,,,,,,,,,
I2-GJB-F01 (30P),0,JUNCTION BOX,,,,,,,,,,
I3-AJB-D03 (20P),0,JUNCTION BOX,,,,,,,,,,
I3-AJB-D05 (30P),0,JUNCTION BOX,,,,,,,,,,
I3-AJB-D29 (30P),0,JUNCTION BOX,,,,,,,,,,
I3-AJB-D316 (BV),0,JUNCTION BOX,,,,,,,,,,
I3-AJB-D317 (BV),0,JUNCTION BOX,,,,,,,,,,
I3-AJB-D411 (BV),0,JUNCTION BOX,,,,,,,,,,
I3-AJB-D617 (BV),0,JUNCTION BOX,,,,,,,,,,
I3-AJB-D617(BV),0,COMMUNICATION CABLE,,,,,,,,,,
I3-AJB-E314 (BV),0,JUNCTION BOX,,,,,,,,,,
I3-DJB-E04 (20P),0,JUNCTION BOX,,,,,,,,,,
I3-MJB-A301 (BV),0,JUNCTION BOX,,,,,,,,,,
I3-SJB-D01 (20P),0,JUNCTION BOX,,,,,,,,,,
I3-SJB-E601 (BV),0,JUNCTION BOX,,,,,,,,,,
I3-TJB-D511A2-1,0,COMMUNICATION CABLE,,,,,,,,,,
I3-TJB-D511A2-2,0,COMMUNICATION CABLE,,,,,,,,,,
I3-TJB-D601A1-1,0,COMMUNICATION CABLE,,,,,,,,,,
I4-AJB-D03 (30P),0,JUNCTION BOX,,,,,,,,,,
I4-AJB-E09 (40P),0,JUNCTION BOX,,,,,,,,,,
I4-DJB-D09 (20P),0,JUNCTION BOX,,,,,,,,,,
I4-SJB-D01 (40P),0,JUNCTION BOX,,,,,,,,,,
I5-AJB-D08 (20P),0,JUNCTION BOX,,,,,,,,,,
I5-AJB-E01 (20P),0,JUNCTION BOX,,,,,,,,,,
I5-DJB-D01 (20P),0,JUNCTION BOX,,,,,,,,,,
I6-AJB -D05,0,COMMUNICATION CABLE,,,,,,,,,,
I6-AJB -D11,0,COMMUNICATION CABLE,,,,,,,,,,
I6-AJB -D19,0,COMMUNICATION CABLE,,,,,,,,,,
I6-AJB -D23,0,COMMUNICATION CABLE,,,,,,,,,,
I6-AJB -D32,0,COMMUNICATION CABLE,,,,,,,,,,
I6-AJB -D66,0,COMMUNICATION CABLE,,,,,,,,,,
CR-PDB-003_TB91,0,JUNCTION BOX,,,,,,,,,,
CR-PDB-012_TB91,0,JUNCTION BOX,,,,,,,,,,
FROM_MCC_TPD21_CR-IRD-001,0,JUNCTION BOX,,,,,,,,,,
FROM_MCC_TPD33_CR-IRD-001,0,JUNCTION BOX,,,,,,,,,,
FROM_MCC-TPD21_CR-IRE-001,0,JUNCTION BOX,,,,,,,,,,
I1-AJB-D01F - F1-MRD-006,0,COMMUNICATION CABLE,,,,,,,,,,
I1-AJB-D13G - F1-MRD-007,0,COMMUNICATION CABLE,,,,,,,,,,
I1-AJB-D14E - F1-MRD-005,0,COMMUNICATION CABLE,,,,,,,,,,
I1-AJB-D14F - F1-MRD-006,0,COMMUNICATION CABLE,,,,,,,,,,
I1-AJB-E03D,0,JUNCTION BOX,,,,,,,,,,
I1-AJB-E03E - F1-MRE-011,0,COMMUNICATION CABLE,,,,,,,,,,
I1-AJB-E16D - F1-MRE-010,0,COMMUNICATION CABLE,,,,,,,,,,
I1-AJB-E17B - F1-MRE-009,0,COMMUNICATION CABLE,,,,,,,,,,
I1-DJB-E05B - F1-MRE-002,0,COMMUNICATION CABLE,,,,,,,,,,
I1-DJB-E05F - F1-MRE-006,0,COMMUNICATION CABLE,,,,,,,,,,
I1-DJB-E09A - F1-MRE-001,0,COMMUNICATION CABLE,,,,,,,,,,
I1-DJB-E09C - F1-MRE-003,0,COMMUNICATION CABLE,,,,,,,,,,
I1-DJB-E09R - F1-MRE-008,0,COMMUNICATION CABLE,,,,,,,,,,
I1-DJB-E10G - F1-MRE-007,0,COMMUNICATION CABLE,,,,,,,,,,
I1-DJB-E12X - F1-MRE-008,0,COMMUNICATION CABLE,,,,,,,,,,
I1-DJB-E18F - F1-MRE-006,0,COMMUNICATION CABLE,,,,,,,,,,
I1-MJB-A20R - F1-MRF-001,0,COMMUNICATION CABLE,,,,,,,,,,
I1-SJB-E06C - F1-MRE-003,0,COMMUNICATION CABLE,,,,,,,,,,
I2-AJB-D01 (30P),0,JUNCTION BOX,,,,,,,,,,
I2-AJB-D101 (BV),0,JUNCTION BOX,,,,,,,,,,
I2-AJB-D201 (BV),0,JUNCTION BOX,,,,,,,,,,
I2-AJB-D202-2,0,COMMUNICATION CABLE,,,,,,,,,,
I2-AJB-E02 (40P),0,JUNCTION BOX,,,,,,,,,,
I3-AJB-A501A,0,COMMUNICATION CABLE,,,,,,,,,,
I3-AJB-A601 (BV),0,JUNCTION BOX,,,,,,,,,,
PG-2066,0,PRESSURE GAUGE,,,,,,,,,,
PDT-2053A,0,PRESSURE DIFFERENTIAL TRANSMITTER,,,,,,,,,,
PG-2059,0,PRESSURE GAUGE,,,,,,,,,,
PT-2050,0,PRESSURE TRANSMITTER,,,,,,,,,,
PG-2057,0,PRESSURE GAUGE,,,,,,,,,,
PCV-2071,0,PCV,,,,,,,,,,
AE-2003,0,SAMPLING PROBE,,,,,,,,,,
AE-2206A,0,SAMPLING PROBE,,,,,,,,,,
HV-2008B,0,BALL CONTROL VALVE,,,,,,,,,,
AE-2408,0,SAMPLING PROBE,,,,,,,,,,
PG-2420A,0,PRESSURE GAUGE,,,,,,,,,,
PG-2420C,0,PRESSURE GAUGE,,,,,,,,,,
PSV-2419B,Angle press relief valve,PRESSURE SAFETY VALVE,,,,,,,,,,
XV-2421A,0,BUTTERFLY ON-OFF VALVE,,,,,,,,,,
FT-2421,0,DIFF. PRESSURE,,,,,,,,,,
XV-2430A,0,BUTTERFLY ON-OFF VALVE,,,,,,,,,,
FT-2423,0,DIFF. PRESSURE,,,,,,,,,,
PG-2434,0,PRESSURE GAUGE,,,,,,,,,,
FT-2640,0,DIFF. PRESSURE,,,,,,,,,,
LT-2640A,0,GUIDED WAVE RADAR,,,,,,,,,,
LG-2640B,0,LEVEL GAUGE,,,,,,,,,,
XZO-2642L,0,ON-OFF VALVE POSITION,,,,,,,,,,
TT-2641A,0,TEMPERATURE TRANSMITTER,,,,,,,,,,
HS-2641C,0,HAND SWITCH,,,,,,,,,,
XV-2642C,0,BALL ON-OFF VALVE,,,,,,,,,,
HS-2642B,0,HAND SWITCH,,,,,,,,,,
HS-2641BA,0,HAND SWITCH,,,,,,,,,,
HS-2640CB,0,HAND SWITCH,,,,,,,,,,
TT-2640B,0,TEMPERATURE TRANSMITTER,,,,,,,,,,
RO-2642C,0,RO,,,,,,,,,,
XT-2641D,0,VIBRATION & SPEED,,,,,,,,,,
HS-2642E,0,HAND SWITCH,,,,,,,,,,
RO-2642FF,0,RO,,,,,,,,,,
RO-2642GG,0,RO,,,,,,,,,,
HS-2640F,0,HAND SWITCH,,,,,,,,,,
TG-6325B,0,TEMPERATURE GAUGE,,,,,,,,,,
HV-6404D,0,BALL CONTROL VALVE,,,,,,,,,,
HV-6404B,0,BALL CONTROL VALVE,,,,,,,,,,
PSV-6423,Angle filled system temp reg,PRESSURE SAFETY VALVE,,,,,,,,,,
PG-6426C,0,PRESSURE GAUGE,,,,,,,,,,
PT-6461,0,PRESSURE TRANSMITTER,,,,,,,,,,
RO-6622C,0,RO,,,,,,,,,,
RO-6622B,0,RO,,,,,,,,,,
PG-6721C,0,PRESSURE GAUGE,,,,,,,,,,
RO-3032,0,RO,,,,,,,,,,
HS-4213B,0,HAND SWITCH,,,,,,,,,,
PT-255,0,PRESSURE TRANSMITTER,,,,,,,,,,
PG-311,0,PRESSURE GAUGE,,,,,,,,,,
FEV-323,0,CONTROL VALVE POSITION,,,,,,,,,,
XZT-505B,0,ON-OFF VALVE POSITION,,,,,,,,,,
HS-513A,0,HAND SWITCH,,,,,,,,,,
HS-511A,0,HAND SWITCH,,,,,,,,,,
LG-642B,0,LEVEL GAUGE,,,,,,,,,,
PDT-264,0,PRESSURE DIFFERENTIAL TRANSMITTER,,,,,,,,,,
HS-4121B,0,HAND SWITCH,,,,,,,,,,
PG-4104,0,PRESSURE GAUGE,,,,,,,,,,
HS-4131A,0,HAND SWITCH,,,,,,,,,,
PS-4143,0,PRESSURE SWITCH,,,,,,,,,,
HS-4155B,0,HAND SWITCH,,,,,,,,,,
O1-AJB-D04,0,COMMUNICATION CABLE,,,,,,,,,,
I7-AJB-D03,0,COMMUNICATION CABLE,,,,,,,,,,
O5-AJB-F01,0,COMMUNICATION CABLE,,,,,,,,,,
I7-AJB-E08,0,COMMUNICATION CABLE,,,,,,,,,,
O2-AJB-D54,0,COMMUNICATION CABLE,,,,,,,,,,
O6-AJB-E05,0,JUNCTION BOX,,,,,,,,,,
O6-AJB-F02,0,JUNCTION BOX,,,,,,,,,,
O6-AJB-D18,0,JUNCTION BOX,,,,,,,,,,
O6-AJB-D11,0,JUNCTION BOX,,,,,,,,,,
O7-AJB-E02,0,JUNCTION BOX,,,,,,,,,,
F4-MRD-002,ARU-DCS MARSHALLING CABINET,CONTROL CABINET,,,,,,,,,,
TZC-511A,E-523A S/S OUTLET,CONTROL VALVE POSITION,Y,,E-523A S/S OUTLET,,,,,,,C
XEV-505B,R-520A/B OUTLET TO E-524,CONTROL VALVE POSITION,,,R-520A/B OUTLET TO E-524,,SAMSON,3731,,,,
PSV-536B,Process Service (Normal) / E-523B Shell Inlet,PRESSURE SAFETY VALVE,Y,,Process Service (Normal) / E-523B Shell Inlet,"1-1/2"" HV 5087-B13A",Anderson Greenwood C,1 1/2 G 3 JOS-E-SPL-35-J,,,,B
TEV-511B,E-523A S/S OUTLET,CONTROL VALVE POSITION,Y,,E-523A S/S OUTLET,,,,,,,C
TT-571B,E-523B S/S INLET,TEMPERATURE TRANSMITTER,Y,,E-523B S/S INLET,,Yokogawa,YTA320-EA2DD,,,,A
TT-570B,E-523B S/S INLET,TEMPERATURE TRANSMITTER,Y,,E-523B S/S INLET,,Yokogawa,YTA320-EA2DD,,,,A
TT-523B,E-522B S/S INLET,TEMPERATURE TRANSMITTER,Y,,E-522B S/S INLET,,Yokogawa,YTA320-EA2DD,,,,A
TIC-511B,E-523A S/S OUTLET,FLOW IMAGE TAG,,,E-523A S/S OUTLET,,,,,,,
TI-570B,E-523B S/S INLET,ANALYZER IMAGE TAG,,,E-523B S/S INLET,,,,,,,
TW-530B,E-522A/B TUBE SIDE OUTLET,THERMOWELL,N,,E-522A/B TUBE SIDE OUTLET,"12""ICW 5201/02-A11A",WIKA,TW10,,17.6,75,C
PG-510B,R-520B OVERHEAD PSV-507B BYPASS,PRESSURE GAUGE,,,R-520B OVERHEAD PSV-507B BYPASS,"4""HV 5029/30-B11Q-H",WIKA,232.30.100,,26.4,,
LV-509,T-520,GLOBE CONTROL VALVE,,,T-520,"4""HL 5027-B11Q-C",SAMSON,241-7,,25.5,,
HZOL-515,P-520A/B SUCTION,CONTROL VALVE POSITION,,,P-520A/B SUCTION,,,,,,,
XL-P520A,P-520A STOP COMMAND,MOTOR SIGNAL,,,P-520A STOP COMMAND,,,,,,,
XL-P526A,P-526A RUN STATUS,MOTOR SIGNAL,,,P-526A RUN STATUS,,,,,,,
HV-531,E-520A/V TO T-520,MOV,Y,,E-520A/V TO T-520,"24""QO 2011-B13A-ST,A2",,,,,,B
I3-AJB-E01,0,COMMUNICATION CABLE,,,,,,,,,,
O6-AJB-E06,0,JUNCTION BOX,,,,,,,,,,
O6-AJB-D01,0,JUNCTION BOX,,,,,,,,,,
F2-MRD-002,ORU-DCS MARSHALLING CABINET,CONTROL CABINET,,,,,,,,,,
O6-AJB-E10,0,JUNCTION BOX,,,,,,,,,,
O7-AJB-D02,0,JUNCTION BOX,,,,,,,,,,
O7-AJB-D01,0,JUNCTION BOX,,,,,,,,,,
F4-MRD-007,ARU-DCS MARSHALLING CABINET,CONTROL CABINET,,,,,,,,,,
O4-AJB-F01,0,COMMUNICATION CABLE,,,,,,,,,,
O2-AJB-D13,0,COMMUNICATION CABLE,,,,,,,,,,
I3-AJB-F01,0,COMMUNICATION CABLE,,,,,,,,,,
I2-AJB-E02,0,COMMUNICATION CABLE,,,,,,,,,,
I3-AJB-E06,0,COMMUNICATION CABLE,,,,,,,,,,
I5-AJB-E05,0,COMMUNICATION CABLE,,,,,,,,,,
I5-AJB-E03,0,COMMUNICATION CABLE,,,,,,,,,,
I2-AJB-D09,0,COMMUNICATION CABLE,,,,,,,,,,
I3-AJB-D19,0,COMMUNICATION CABLE,,,,,,,,,,
I4-AJB-D02,0,COMMUNICATION CABLE,,,,,,,,,,
I5-AJB-D16,0,COMMUNICATION CABLE,,,,,,,,,,
I4-AJB-D15,0,COMMUNICATION CABLE,,,,,,,,,,
I4-AJB-D18,0,COMMUNICATION CABLE,,,,,,,,,,
I3-AJB-D29,0,COMMUNICATION CABLE,,,,,,,,,,
I2-AJB-D17,0,COMMUNICATION CABLE,,,,,,,,,,
I3-AJB-D27,0,COMMUNICATION CABLE,,,,,,,,,,
I3-AJB-D21,0,COMMUNICATION CABLE,,,,,,,,,,
I4-AJB-D05,0,COMMUNICATION CABLE,,,,,,,,,,
F4-MRE-004,ARU-ESD MARSHALLING CABINET,CONTROL CABINET,,,,,,,,,,
F4-IRE-001,ARU-ESD INTERPOSING RELAY,CONTROL CABINET,,,,,,,,,,
F4-PDB-021,220 AC IPS SYSTEM & MARSHALLING CABINET,CONTROL CABINET,,,,,,,,,,
F1-MRE-009,CFU-ESD MARSHALLING CABINET,CONTROL CABINET,,,,,,,,,,
F1-IRD-001,CFU-DCS INTERPOSING RELAY,CONTROL CABINET,,,,,,,,,,
PG-6521C,0,PRESSURE GAUGE,,,,,,,,,,
PG-6803A,0,PRESSURE GAUGE,,,,,,,,,,
PDT-6323,0,PRESSURE DIFFERENTIAL TRANSMITTER,,,,,,,,,,
HS-3031B,0,HAND SWITCH,,,,,,,,,,
RO-3033,0,RO,,,,,,,,,,
PT-1402A,0,PRESSURE TRANSMITTER,,,,,,,,,,
HS-1402B,0,HAND SWITCH,,,,,,,,,,
HS-1408B,0,HAND SWITCH,,,,,,,,,,
