Tag Name,PSM Critical,Unit,Line,Class,Fluid State,Paint Code,P&ID Number,Fluid,Design Pressure (kg/cm2g),Design Temperatur(C) ,Pipe Size (inch) ,Operating Pressure (kg/cm2g) ,Operating Temperature(C),C Insulation Thickness (mm) 
"4""E 12017-B11Q-C",,,,B11Q,,,20-1700A,E,21 kgf/cm^2,65 C,"4""",18 kgf/cm^2,40 C,
"14""E 17005-B13A",,,,B13A,,,20-1700A,E,,,"14""",,,
"12""NAP 10018-B13A",,,,B13A,,,20-1700A,NAP,21.0 kgf/cm^2,65C,"12""",18kgf/cm^2,40 C,
"12""NAP 10018-B13A",,,,B13A,K-14/K-2,,29RE4011-01000A / 1700A,Naphtha,,,"12""",0-18,15-40,-
"3/4""PH 20552-10-F11K",,,,1500#,233,,20-2000J,PH,233,65,"3/4""",166,36,
"10""LC1 20001-A12A-P",,,,A12A,,,"20-2000A
20-2000D",LC1,,,"10""",,,
"2""LS1 20009-A14T-H",,,,A14T,,,20-2000B,LS1,7,300,"2""",4,200,
"16""MS1 20005-B12T-H",,,,B12T,,,20-2000B,MS1,,,"16""",,,
"8""HS 20017-D11T-H",,,,D11T,,,"20-2000B
20-2400D",HS,,,"8""",,,
"14""LS1 20010-A14T-H",,,,A14T,,,20-2000B,LS1,7,300,"14""",4,200,
"14""LS1 20009-A14T-H",,,,A14T,,,20-2000B,LS1,7,300,"14""",4,200,
"3""LS1 20041-A14T-H",,,,A14T,,,"20-2000B
20-2900",LS1,,,"3""",,,
"18""LS1 20040-A14T-H",,,,A14T,,,"20-2000B
20-2900",LS1,7,300,"18""",4,200,
"3/4""LS1 24004-A14T-H",,,,A14T,,,"20-2000B
20-2400B
20-2400D",LS1,,,"3/4""",,,
"8""D 20237-10-A12A-P",,,,150#,8,,20-2000C,D,8,180,"8""",4,147,
"3""D 20236-10-A12A-P",,,,150#,8,,20-2000C,D,8,180,"3""",4,147,
"8""SSC 20019-12-A12A-P",,,,150#,9,,20-2000D,SSC,9,180,"8""",6.5,100,
"4""SSC 20016-21-A12A-P",,,,150#,9,,20-2000D,SSC,9,180,"4""",6.5,100,
"3/4""MC1 20215-30-B12T-P",,,,300#,21,,20-2000E,MC1,21,350,"3/4""",18.3,320,
"3""E 12011-B11Q-C",,,,B11Q,,,20-1700A,E,21 kgf/cm^2,65 C,"3""",18kgf/cm^2,40 C,
"3""WG 17001-A51A",,,,A51A,,,20-1700A,WG,,,"3""",,,
"2""H 17004-B24A",,,,B24A,,,20-1700A,H,,,"2""",,,
"12""E 17001-B13A",,,,B13A,,,20-1700A,E,21 kgf/cm^2,65C,"12""",18kgf/cm^2,40C,
"12""E 17001-B13A",,,,B13A,F-9/D-2,,29RE4011-01200B/01700A,Vapor,,,"12""",65,,SPOT
"6""PG 15009-A13A",,,,A13A,,,20-1700A,PG,21.0 kgf/cm^2,65C,"6""",18kgf/cm^2,40 C,
"6""PG 15009-A13A",,,,A13A,Liquid,,29RE4011-01500A,Pyrolysis Gasoline,,,"6""",0-10,15-40,-
"6""E 17002-B11Q-C",,,,B11Q,,,20-1700A,E,30 kgf/cm^2,65 C,"6""",22 kgf/cm^2,40C,
"18""E 17003-B13A",,,,B13A,,,20-1700A,E,21.0 kgf/cm^2,65C,"18""",18kgf/cm^2,40 C,
"18""E 17003-B13A",,,,B13A,D-3,,29RE4011-01700A,Vapor,,,"18""",65,,SPOT
"10""WW 20031-10-B12A-P",,,,300#,16,,20-2000C,WW,16,245,"10""",4,158,
"3""LC1 20005-A12A-P",,,,A12A,,,20-2000A,LC1,,,"3""",,,
"10""MC2 20006-B12A-H",,,,B12A,,,"20-2000A
20-2000C",MC2,,,"10""",,,
"6""BFW 20031-A12A-H",,,,A12A,,,20-2000A,BFW,8.00 kgf/cm^2,180 C,"6""",,,
"2""BFW 20022-D11T-H",,,,D11T,,,20-2000A,BFW,,,"2""",,,
"2""V 20049-81-A12A-P",,,,150#,8,,20-2000C,V,8,180,"2""",4,147,
"3/4""OSC 20214-10-A14K",,,,150#,8,,20-2000C,D,8,180,"3/4""",4,147,
"8""SSC 22003-A12A",,,,A12A,,,20CT4011-02200F,SSC,,,"8""",,,
