Tag Name,Tag Description,Tag Type,Unit,ABC Class,PSM Critical,Service,Type,Design Temperature (C) ,Design Pressure (kg/cm2g)
C-130A,DECOKE AIR COMPRESSOR,AIR COMPRESSOR,21-CFU,B,,,,,
E-201A,LPS-2 GENERATOR,HEAT EXCHANGER,22-ORU,C,,LPS-2 Generator,H-BKM,,
F-252B,PYROLYSIS FUEL OIL DISCHARGE FILTER,FILTER,22-ORU,,,Pyrolysis Fuel Oil Discharge Filter,Basket Type,11 / 420,27
P-505A,"CONDENSATE PUMP FOR E-505A,B",PUMP,22-ORU,C,,"Condensate Pump for E-505A,B",Centrifugal,,
P-526B,C2 GREEN OIL SCRUBBER BOTTOMS PUMP,PUMP,22-ORU,B,,C2 Green Oil Scrubber Bottoms Pump,"Centrifugal
(Sundyne)",,
P-600A,DEPROPANIZER REFLUX PUMP,PUMP,22-ORU,B,,Depropanizer Reflux Pump,Centrifugal,,
E-640C,C3 TOWER CONDENSER,HEAT EXCHANGER,22-ORU,A,,,,,
T-380,CRACKED GAS ABSORBER,TOWER,22-ORU,A,,Cracked Gas Absorber,,75,44.8
E-235,PROCESS WATER STRIPPER REBOILER,HEAT EXCHANGER,22-ORU,A,,Process Water Stripper Reboiler,H-BHS,,
E-247,DILUTION STEAM DRUM FEED/EFFLUENT EXCHANGER,HEAT EXCHANGER,22-ORU,B,,"Dilution Steam Drum Feed/Effluent
 Exchanger",H-AES,,
T-230,PROCESS WATER STRIPPER,TOWER,22-ORU,A,,Process Water Stripper,,225,3.5 / F.V
D-962,ARU HP FLARE K.O. DRUM,DRUM,24-ARU,A,,ARU HP Flare K.O. Drum,H,350,3.5 / FV
T-2400H,COOLING TOWER,COOLING TOWER,20-CTU,C,,,,,
D-2607,LP FLARE KO DRUM,DRUM,20-CTU,A,,,,,
F-2102D,DYNASAND FILTRATION SYSTEM,FILTER,20-CTU,C,,,,,
PIT-3343,NEUTRALIZED WATER SEND OUT PIT,PIT AND BASIN,20-CTU,C,,,,,
D-2050B,BOILER BLOWDOWN FLASH DRUM,DRUM,20-CTU,B,,BOILER BLOWDOWN FLASH DRUM,Vertical,7.14,300
E-2010,LP CONDENSATE VENT CONDENSER,HEAT EXCHANGER,20-CTU,C,,,,,
E-2021B,BFW PREHEATER,HEAT EXCHANGER,22-ORU,B,,,,,
E-2050C,ECONOMIZER,HEAT EXCHANGER,20-CTU,A,,,,,
TK-2050C,BOILER BLOWDOWN TANK,TANK,20-CTU,C,,BOILER BLOWDOWN TANK,Vertical,7.14,330
D-1213,ETHYLENE VAPORIZER CONDENSATE POT,DRUM,29-TFU,A,,Condensate pot,Cylindrical  (Horizontal),,
LA-1820,MIXED XYLENE TRUCK UNLOADING ARM,LOADING ARM,29-TFU,A,,,,,
TK-1310B,PROPYLENE SPHERICAL TANK,TANK,29-TFU,,,HP Propylene,,,
TK-2416,NON-OXIDIZING BIOCIDE TANK,TANK,20-CTU,C,,,,,
T-2400D,COOLING TOWER,COOLING TOWER,20-CTU,C,,,,,
T-2400G,COOLING TOWER,COOLING TOWER,20-CTU,C,,,,,
T-2400K,COOLING TOWER,COOLING TOWER,20-CTU,C,,,,,
PIT-2102,INTERMEDIATE PIT,PIT AND BASIN,20-CTU,B,,,,,
PIT-2103,SLUDGE STORAGE PIT,PIT AND BASIN,20-CTU,C,,,,,
TK-2162,ALUM STORAGE TANK,TANK,20-CTU,B,,,,,
E-2005,CONDENSATE HEATER NO.1,HEAT EXCHANGER,20-CTU,C,,,,,
H-2050B,PACKAGED BOILERS,BOILER,20-CTU,A,,PACKAGED BOILERS,"37VP18 Natural Circ, FD, Pkg Blr",63.7 (Blr) 46.2 (SH),
TK-2050A,BOILER BLOWDOWN TANK,TANK,20-CTU,C,,BOILER BLOWDOWN TANK,Vertical,7.14,330
E-1211,EMERGENCY ETHYLENE PRODUCT VAPORIZER,HEAT EXCHANGER,29-TFU,B,,"Emergency Ethylene
Product v",Shell & Tube,,
TK-1210B,HP ETHYLENE SPHERICAL TANK,TANK,29-TFU,,,HP Ethylene,,,
TK-1520,EXTRACTION FEED TANK,TANK,29-TFU,A,,C6-C8 Fraction,,,
ZZ-3082B,CARBON CANISTER AT NO.4 NEUTRALIZATION TANK,CANISTER,20-CTU,C,,,,,
PIT-3351,SLUDGE PIT,PIT AND BASIN,20-CTU,C,,,,,
PIT-3360,DECANTER WATER PIT,PIT AND BASIN,20-CTU,C,,,,,
TK-3076,A POLYMER TANK,TANK,20-CTU,C,,,,,
TK-3082,NO.4 NEUTRALIZATION TANK,TANK,20-CTU,B,,,,,
PIT-2401,COOLING WATER SUCTION PIT,PIT AND BASIN,20-CTU,C,,,,,
E-546,C2 TOWER SIDE REBOILER NO. 1,HEAT EXCHANGER,22-ORU,A,,C2 Tower Side Reboiler No. 1,H-BKM,,
