Tag Name,Tag Description,Tag Type,Unit,ABC Class,PSM Critical,Service,Type,Design Temperature (C) ,Design Pressure (kg/cm2g)
F-760A,OCU C4 FEED FILTERS,FILTER,23-OCU,,,OCU C4 Feed Filters,Cartridge,70,11.0
P-811B,C5 PRODUCT PUMPS,PUMP,24-ARU,B,,C5 Product Pumps,C,,
D-825,CONDENSATE POT FOR E-825,DRUM,24-ARU,C,,Condensate Pot  for E-825,V,-,-
STR-8306A,HC Strainer,STRAINER,24-ARU,,,,,,
P-850A,DEOCTANIZER REFLUX PUMPS,PUMP,24-ARU,B,,Deoctanizer Reflux Pumps,C,,
P-866A,EDC BOTTOM PUMPS,PUMP,24-ARU,B,,EDC Bottom Pumps,C,,
E-879B,WET SOLVENT COOLER,HEAT EXCHANGER,24-ARU,B,,Wet Solvent Cooler,,,
T-881A,CLAY TOWER,TOWER,24-ARU,C,,Clay Tower,,4700,30 / FV
P-880A,BENZENE REFLUX PUMPS,PUMP,24-ARU,B,,,,,
P-1213A,STEAM CONDENSATE RETURN PUMP,PUMP,29-TFU,B,,,,,
Z-1810,CKB LOCAL BATCH CONTROLLER,CANISTER,29-TFU,,,,,,
P-3033A,DIVERSION BOX#3 WASTE TRANSFER PUMP,PUMP,20-CTU,C,,,,,
P-1610A,CKB EXPORT PUMP,PUMP,29-TFU,C,,,,,
C-100C,INDUCED DRAFT FAN (LIQUID CRACKING FURNACE),FAN,21-CFU,A,,,,,
F-2052A,PFO FILTER FOR BOILER,FILTER,20-CTU,,,,,,
P-2021A-P1A,LUBE OIL PUMP FOR PM-2021 A,PUMP LUBE OIL,20-CTU,B,,,,,
P-2232A,PH CONTROL AGENT PUMP FOR CONDENSATE POLISHER,PUMP,20-CTU,,,,,,
P-3081A,CONC. H2SO4 PUMP,PUMP,20-CTU,B,,,,,
C-3200B,SPENT CAUSTIC OXIDATION AIR COMPRESSOR,AIR COMPRESSOR,22-ORU,B,,,,,
P-3203A,SPENT CAUSTIC WASH TOWER CIRC. PUMP,PUMP,22-ORU,B,,"Spent Caustic Wash Tower Circ. 
 Pump",Centrifugal,,
P-4003C,DIESEL ENGINE FIRE WATER PUMP,PUMP,20-CTU,,,,,,
F-1750,FUEL GAS FILTER,FILTER,28-ICF,,,,,,
STR-2021A,SSC from downstream Strainer,STRAINER,20-CTU,,,,,,
P-2265B,NaOH METERING PUMP FOR ORU,PUMP,20-CTU,B,,,,,
C-2203A,NEUTRALIZATION BLOWER,BLOWER,20-CTU,B,,,,,
P-2416B,NON-OXIDIZING BIOCIDE PUMP,PUMP,20-CTU,B,,,,,
P-2410A,SODIUM BROMIDE(NaBr) PUMP,PUMP,20-CTU,B,,,,,
P-2413A,SCALE INHIBITOR TYPE 2 PUMP,PUMP,20-CTU,B,,,,,
P-2411B,NaOCl PUMP,PUMP,20-CTU,B,,,,,
P-3060B,CW BLOW DOWN HOLDING PIT PUMP,PUMP,20-CTU,B,,,,,
X-3300C,EQUALIZATION MIXING AERATOR,AERATOR,20-CTU,B,,,,,
P-3341A,BACKWASH PUMP,PUMP,20-CTU,B,,,,,
H-100E,LIQUID CRACKING FURNACE,FURNACE,21-CFU,A,,,,,
D-100A,SHP STEAM DRUM (LIQUID CRACKING FURNACE),DRUM,21-CFU,A,,,,,
ZZ-102A,GK6 EXPORT SHP STEAM RELIEF VALVE SILENCER (LIQUID CRACKING FURNACE),SILENCER,21-CFU,A,,,,,
P-3032A,DIVERSION BOX PUMPS,PUMP,20-CTU,C,,,,,
ZZ-102G,GK6 EXPORT SHP STEAM RELIEF VALVE SILENCER (LIQUID CRACKING FURNACE),SILENCER,21-CFU,A,,,,,
E-001,LPG VAPORIZER,HEAT EXCHANGER,21-CFU,A,,LPG Vaporizer,H-BHU,,
STR-706AA,FG Strainer,STRAINER,22-ORU,,,,,,
STR-401,HV Strainer,STRAINER,22-ORU,,,,,,
STR-422B,HV Strainer,STRAINER,22-ORU,,,,,,
Z-440,PRESSURE SWING ADSORPTION UNIT,MISCELLANEOUS ITEM,22-ORU,,,Pressure Swing Adsorption Unit,,,
STR-550,C2R Strainer,STRAINER,22-ORU,A,,,,,
STR-601B,HL Strainer,STRAINER,22-ORU,B,,,,,
STR-608,C3R Strainer,STRAINER,22-ORU,A,,,,,
STR-613B,C3R Strainer,STRAINER,22-ORU,,,,,,
STR-711A,BFW Strainer,STRAINER,22-ORU,,,,,,
STR-703B,C4 Strainer,STRAINER,22-ORU,C,,,,,
STR-701B,LC1 Strainer,STRAINER,22-ORU,C,,,,,
STR-705A,BFW Strainer,STRAINER,22-ORU,,,,,,
P-3201B,SPENT CAUSTIC GASOLINE CIRC. PUMP,PUMP,22-ORU,B,,Spent Caustic Gasoline Circ. Pump,Centrifugal,,
MX-3202,STATIC MIXER,MIXER,22-ORU,,,Static Mixer,,,
STR-3402,WG Strainer,STRAINER,22-ORU,,,,,,
STR-7201B,HL Strainer,STRAINER,23-OCU,,,,,,
STR-7301B,HL Strainer,STRAINER,23-OCU,,,,,,
STR-7301A,HL Strainer,STRAINER,23-OCU,,,,,,
E-755B,DEISOBUTENIZER REBOILER,HEAT EXCHANGER,23-OCU,,,,,,
STR-7503A,HL Strainer,STRAINER,23-OCU,,,,,,
P-801B,GHU-1 RECYCLE PUMPS,PUMP,24-ARU,A,,GHU-1 Recycle Pumps,C,,
STR-8001B,HC Strainer,STRAINER,24-ARU,,,,,,
STR-8302A,HC Strainer,STRAINER,24-ARU,,,,,,
STR-8501B,HC Strainer,STRAINER,24-ARU,,,,,,
STR-8502B,HC Strainer,STRAINER,24-ARU,,,,,,
P-866B,EDC BOTTOM PUMPS,PUMP,24-ARU,B,,EDC Bottom Pumps,C,,
STR-8602B,Water+HC Strainer,STRAINER,24-ARU,,,,,,
P-876A,SRC BOTTOMS PUMPS,PUMP,24-ARU,B,,,,,
STR-3079,STRAINER FOR P-3079,STRAINER,20-CTU,C,,,,,
STR-1951A,STRAINER FOR P-1951A/B,STRAINER,20-CTU,C,,,,,
H-100A,RECYCLE GAS / LIQUID CRACKING FURNACE,FURNACE,21-CFU,A,,,,,
H-100G,LIQUID CRACKING FURNACE,FURNACE,21-CFU,A,,,,,
ZZ-103A,GK6 STEAMDRUM RELIEF VALVE SILENCER (LIQUID CRACKING FURNACE),SILENCER,21-CFU,A,,,,,
D-100E,SHP STEAM DRUM (LIQUID CRACKING FURNACE),DRUM,21-CFU,A,,,,,
F-205C,QUENCH OIL SUCTION FILTER,FILTER,22-ORU,B,,Quench Oil Suction Filter,Bucket,205,23.5
P-249A,QW/PW PH CONTROL PUMP,PUMP,22-ORU,,,,,,
DSH-302,E-365 DSH,DESUPERHEATER,22-ORU,,,E-365 DSH,,,
STR-319A,HL Strainer,STRAINER,22-ORU,,,,,,
STR-412,HM Strainer,STRAINER,22-ORU,A,,,,,
STR-413,HV Strainer,STRAINER,22-ORU,A,,,,,
E-643,REGENERATION GAS HEATER NO. 2,HEAT EXCHANGER,22-ORU,C,,,,,
STR-691,C3R Strainer,STRAINER,22-ORU,,,,,,
STR-705B,BFW Strainer,STRAINER,22-ORU,,,,,,
STR-660A,TSC Strainer,STRAINER,22-ORU,B,,,,,
STR-7203,LC1 Strainer,STRAINER,23-OCU,,,,,,
STR-7201A,HL Strainer,STRAINER,23-OCU,,,,,,
STR-7601A,HL Strainer,STRAINER,23-OCU,,,,,,
P-816A,DEPENTAIZER BOTTOM PUMPS,PUMP,24-ARU,B,,Depentaizer Bottom Pumps,C,,
STR-8104B,HC Strainer,STRAINER,24-ARU,,,,,,
STR-8104A,HC Strainer,STRAINER,24-ARU,,,,,,
E-825,DEDECTANIZER REBOILER,HEAT EXCHANGER,24-ARU,A,,Dedectanizer Reboiler,,,
STR-8000B,HC Strainer,STRAINER,24-ARU,,,,,,
STR-8001A,HC Strainer,STRAINER,24-ARU,,,,,,
P-831A,GHU-2 QUENCH PUMPS,PUMP,24-ARU,B,,GHU-2 Quench Pumps,C,,
STR-8302B,HC Strainer,STRAINER,24-ARU,,,,,,
STR-8600B,HC Strainer,STRAINER,24-ARU,,,,,,
STR-8601A,HC Strainer,STRAINER,24-ARU,,,,,,
P-861A,EDC WATER PUMPS,PUMP,24-ARU,B,,EDC Water Pumps,C,,
STR-8700A,Lean Solvent Strainer,STRAINER,24-ARU,,,,,,
P-872A,WATER SURGE PUMPS,PUMP,24-ARU,B,,Water Surge Pumps,C,,
Z-871,CANISTERS,CANISTER,24-ARU,C,,Canisters,,,
P-890B,TOLUENE REFLUX PUMPS,PUMP,24-ARU,B,,,,,
STR-1011B,STRAINER FOR P-1010A/B/C/D,STRAINER,29-TFU,C,,,,,
STR-1011,STRAINER FOR SEJ-1011,STRAINER,29-TFU,C,,,,,
STR-1212,STRAINER FOR P-1216,STRAINER,29-TFU,C,,,,,
C-2400A,COOLING TOWER FAN,FAN,20-CTU,B,,,,,
DSH-2003B,STEAM DESUPERHEATER,DESUPERHEATER,20-CTU,C,,Steam Desuperheater,,,
E-100A3,TRANSFERLINE EXCHANGE (LIQUID CRACKING FURNACES),HEAT EXCHANGER,21-CFU,A,,,,,
E-100A4,TRANSFERLINE EXCHANGER LIQUID CRACKING FURNACES),HEAT EXCHANGER,21-CFU,A,,,,,
STR-8700B,Lean Solvent Strainer,STRAINER,24-ARU,,,,,,
P-870A,SRC REFLUX PUMPS,PUMP,24-ARU,B,,SRC Reflux Pumps,C,,
STR-1821,MIXED XYLENE TRUCK LOADING FILTER,STRAINER,29-TFU,C,,,,,
C-2050C-P1B,LUBE OIL PUMP FOR C-2050C,PUMP LUBE OIL,20-CTU,C,,,,,
C-2400B,COOLING TOWER FAN,FAN,20-CTU,B,,,,,
C-2400G,COOLING TOWER FAN,FAN,20-CTU,B,,,,,
E-100A1,TRANSFERLINE EXCHANGER (LIQUID CRACKING FURNACES),HEAT EXCHANGER,21-CFU,A,,,,,
E-100G4,TRANSFERLINE EXCHANGER (LIQUID CRACKING FURNACES),HEAT EXCHANGER,21-CFU,A,,,,,
P-2021B-P1B,LUBE OIL PUMP FOR PM-2021 B,PUMP LUBE OIL,20-CTU,A,,,,,
P-2021C-P1B,LUBE OIL PUMP FOR PM-2021 C,PUMP LUBE OIL,20-CTU,A,,,,,
P-269B,CHEMICAL INJECTION PUMP,PUMP,22-ORU,,,,,,
P-2800B-P1B,LUBE OIL PUMP FOR C-2800B,PUMP LUBE OIL,20-CTU,B,,,,,
P-3011A,CPI SEPARATOR WATER PUMP,PUMP,20-CTU,,,,,,
P-509D,DEETH/DEPRO POLYMERIZATION INHIBITOR PUMP,PUMP,22-ORU,C,,,,,
P-766A-P1B,P-766A Lube oil pump,PUMP LUBE OIL,23-OCU,B,,,,,
P-879B,SOLVENT SUMP PUMPS,PUMP,24-ARU,C,,,,,
STR-1511,STRAINER FOR P-1510,STRAINER,29-TFU,C,,,,,
P-2400B-P1B,LUBE OIL FOR PT-2400B,PUMP LUBE OIL,20-CTU,C,,,,,
P-259B,CHEMICAL INJECTION PUMP,PUMP,22-ORU,,,Chemical Injection Pump,"Metering
(Air Driven)",,
P-3351A,DECANTER FEED PUMP,PUMP,20-CTU,B,,,,,
P-34004,CGC WASH GASOLINE PUMP,PUMP,22-ORU,,,,,,
P-34005,CGC WASH GASOLINE PUMP,PUMP,22-ORU,,,,,,
STR-1561,STRAINER FOR P-1560A,STRAINER,29-TFU,C,,,,,
STR-1612B,CKB TO BOILER FILTER,STRAINER,29-TFU,C,,,,,
STR-2061B,BFW Desup FD fan Strainer,STRAINER,20-CTU,,,,,,
STR-2161C,STRAINER FOR P-2161A/B/C,STRAINER,20-CTU,C,,,,,
STR-2162C,STRIANER FOR P-2162A/B/C,STRAINER,20-CTU,,,,,,
STR-2263A,STRAINER FOR P-2263A/B,STRAINER,20-CTU,C,,,,,
STR-2263B,STRAINER FOR P-2263A/B,STRAINER,20-CTU,C,,,,,
STR-2264A,STRAINER FOR P-2264A/B,STRAINER,20-CTU,C,,,,,
STR-2264B,STRAINER FOR P-2264A/B,STRAINER,20-CTU,C,,,,,
STR-2412B,STRAINER FOR P-2412 A/B,STRAINER,20-CTU,C,,,,,
STR-2416B,STRAINER FOR P-2416 A/B,STRAINER,20-CTU,C,,,,,
STR-2417B,STRAINER FOR P-2417 A/B,STRAINER,20-CTU,C,,,,,
STR-308D,WG Strainer,STRAINER,22-ORU,,,,,,
STR-4002,Fire Water Strainer,STRAINER,20-CTU,,,,,,
STR-40143,FW Strainer,STRAINER,20-CTU,,,,,,
STR-7501A,HL Strainer,STRAINER,23-OCU,,,,,,
STR-8800A,HC Strainer,STRAINER,24-ARU,,,,,,
STR-8800B,HC Strainer,STRAINER,24-ARU,,,,,,
V-2050C,HP STEAM S/U VENT SILENCER,SILENCER,20-CTU,,,,,,
X-3310A,AERATOR,AERATOR,20-CTU,B,,,,,
P-840B,STABILIZER REFLUX PUMPS,PUMP,24-ARU,B,,Stabilizer Reflux Pumps,C,,
P-856A,DEOCTANIZER BOTTOM PUMPS,PUMP,24-ARU,B,,Deoctanizer Bottom Pumps,C,,
STR-8500B,HC Strainer,STRAINER,24-ARU,,,,,,
P-851B,IMPORTED C8+ FEED PUMPS,PUMP,24-ARU,B,,Imported C8+ Feed Pumps,C,,
X-860,STATIC MIXER,MIXER,24-ARU,,,Static Mixer,,,
STR-8601B,HC Strainer,STRAINER,24-ARU,,,,,,
EJ-870,SRC EJECTORS,EJECTOR,24-ARU,A,,SRC Ejectors,,,
STR-8706,Solvent Strainer,STRAINER,24-ARU,,,,,,
E-884,CLAY TOWER CHARGE HEATER,HEAT EXCHANGER,24-ARU,C,,,,,
E-883B,CLAY TOWER FEED / EFFLUENT EXCHANGER,HEAT EXCHANGER,24-ARU,C,,Clay Tower Feed / Effluent Exchanger,,,
P-886B,BENZENE BOTTOMS PUMPS,PUMP,24-ARU,B,,,,,
STR-8801B,HC Strainer,STRAINER,24-ARU,,,,,,
STR-9001,Nitrogen Strainer,STRAINER,20-CTU,,,,,,
STR-9604,Fire Water Strainer,STRAINER,24-ARU,B,,,,,
STR-9601,Nitrogen Strainer,STRAINER,24-ARU,,,,,,
STR-1211B,STRAINER FOR P-1210A/B/C,STRAINER,29-TFU,C,,,,,
STR-1211C,STRAINER FOR P-1210A/B/C,STRAINER,29-TFU,C,,,,,
ZM-2101-2B,RECIRCULATOR DRIVE,DRIVER,20-CTU,B,,,,,
DS-2050B,HP STEAM DESUPERHEATER AT BOILER,DESUPERHEATER,20-CTU,B,,HP STEAM DESUPERHEATERS AT BOILER (Inter stage & Final stage),Separate Spray Nozzle,,
DS-2050F,HP STEAM DESUPERHEATER AT BOILER,DESUPERHEATER,20-CTU,B,,HP STEAM DESUPERHEATERS AT BOILER (Inter stage & Final stage),Separate Spray Nozzle,,
STR-611B,C3R Strainer,STRAINER,22-ORU,,,,,,
STR-692,C3R Strainer,STRAINER,22-ORU,,,,,,
STR-612A,C3R Strainer,STRAINER,22-ORU,,,,,,
STR-704A,C4 Strainer,STRAINER,22-ORU,C,,,,,
STR-2195,BFW Desup MS-2 to LS-1 Strainer,STRAINER,20-CTU,,,,,,
STR-2194A,BFW Desup HS to MS-2 Strainer,STRAINER,20-CTU,,,,,,
STR-360B,TSC Strainer,STRAINER,22-ORU,,,,,,
MX-3201,STATIC MIXER,MIXER,22-ORU,,,Static Mixer,,,
STR-7601B,HL Strainer,STRAINER,23-OCU,,,,,,
M-761B,OCU C2 FEED TREATERS,TREATER,23-OCU,,,OCU C2 Feed Treaters,,"50 &
320 @ Regen.","46.5 & 
7.7 @ Regen."
STR-7604,FG Strainer,STRAINER,23-OCU,,,,,,
STR-7701B,HL Strainer,STRAINER,23-OCU,,,,,,
E-780B,DEPROPYLENIZER CONDENSER,HEAT EXCHANGER,23-OCU,,,Depropylenizer Condenser,H-AEM,,
P-826A,DEDECTANIZER BOTTOM PUMPS,PUMP,24-ARU,B,,Dedectanizer Bottom Pumps,C,,
P-821B,DEDECTANIZER OVERHEAD PRODUCT PUMPS,PUMP,24-ARU,B,,Dedectanizer Overhead Product Pumps,C,,
Z-830,SULFIDING AGENT PACKAGE,PUMP,24-ARU,C,,Sulfiding Agent Package,,,
P-861B,EDC WATER PUMPS,PUMP,24-ARU,B,,EDC Water Pumps,C,,
Z-870,CANISTERS,CANISTER,24-ARU,C,,Canisters,,,
E-883C,CLAY TOWER FEED / EFFLUENT EXCHANGER,HEAT EXCHANGER,24-ARU,C,,,,,
E-883A,CLAY TOWER FEED / EFFLUENT EXCHANGER,HEAT EXCHANGER,24-ARU,C,,Clay Tower Feed / Effluent Exchanger,,,
STR-9605,Fire Water Strainer,STRAINER,24-ARU,B,,,,,
P-963A,OILY WATER SLOP PUMPS,PUMP,24-ARU,C,,,,,
STR-1213A,Condensate Strainer,STRAINER,29-TFU,B,,,,,
STR-1811,CKB TRUCK LOADING FILTER,STRAINER,29-TFU,C,,,,,
ZM-2101-1B,SCRAPER DRIVE,DRIVER,20-CTU,B,,,,,
F-2102I,DYNASAND FILTRATION SYSTEM,FILTER,20-CTU,,,,,,
P-1540B,BENZENE EXPORT PUMP,PUMP,29-TFU,B,,Benzene Feed Pump,CENTRIFUGAL(Horizontal),,
P-1560A,MIXED XYLENE EXPORT PUMP,PUMP,29-TFU,B,,Mix. Xylene Feed Pump,CENTRIFUGAL (Vertical),,
P-2800B-P1A,LUBE OIL PUMP FOR C-2800B,PUMP LUBE OIL,20-CTU,B,,,,,
P-34002,CGC WASH GASOLINE PUMP,PUMP,22-ORU,,,,,,
P-34003,CGC WASH GASOLINE PUMP,PUMP,22-ORU,,,,,,
P-879A,SOLVENT SUMP PUMPS,PUMP,24-ARU,B,,,,,
PE-4003B,FIRE PUMP DIESEL ENGINE,DIESEL ENGINE,20-CTU,,,,,,
STR-1316,STRAINER FOR P-1316,STRAINER,29-TFU,C,,,,,
STR-1623B,STRAINER FOR P-1620B,STRAINER,29-TFU,C,,,,,
STR-1651,LP Steam Strainer,STRAINER,29-TFU,,,,,,
STR-2102A,STRAINER FOR P-2102A/B,STRAINER,20-CTU,C,,,,,
STR-2162B,STRIANER FOR P-2162A/B/C,STRAINER,20-CTU,C,,,,,
STR-2202B,STRAINER FOR P-2202C-D,STRAINER,20-CTU,C,,,,,
STR-2205B,STRAINER FOR P-2205A/B,STRAINER,20-CTU,C,,,,,
STR-3072B,STRAINER FOR P-3072A/B,STRAINER,20-CTU,B,,,,,
STR-310A,WG Strainer,STRAINER,22-ORU,,,,,,
STR-311B,WG Strainer,STRAINER,22-ORU,,,,,,
STR-40125,FW Strainer,STRAINER,20-CTU,,,,,,
X-3310C,AERATOR,AERATOR,20-CTU,B,,,,,
z-1010C,TK-1010AB Cabon canister,CANISTER,29-TFU,C,,,,,
STR-326A,HV Strainer,STRAINER,22-ORU,,,,,,
P-206A,QUENCH OIL PUMP,PUMP,22-ORU,A,,Quench Oil Pump,Centrifugal,,
F-205B,QUENCH OIL SUCTION FILTER,FILTER,22-ORU,B,,Quench Oil Suction Filter,Bucket,205,23.5
F-251A,PYROLYSIS FUEL OIL SUCTION FILTER,FILTER,22-ORU,,,Pyrolysis Fuel Oil Suction Filter,Basket Type,11 / 420,3.7 / FV
E-221A,PRIMARY QUENCH WATER COOLER,HEAT EXCHANGER,22-ORU,C,,Primary Quench Water Cooler,H-AES,,
STR-313B,HL Strainer,STRAINER,22-ORU,,,,,,
STR-316A,CS Strainer,STRAINER,22-ORU,,,,,,
STR-501B,HL Strainer,STRAINER,22-ORU,B,,,,,
STR-510,C2R Strainer,STRAINER,22-ORU,A,,,,,
STR-509,C2R Strainer,STRAINER,22-ORU,A,,,,,
D-561,C2R 1ST STAGE SUCTION DRUM,DRUM,22-ORU,A,,C2R 1st Stage Suction Drum,Vertical,-111,11.6 / -0.5
STR-617A,BFW Strainer,STRAINER,22-ORU,,,,,,
E-941,BACK-UP ETHYLENE FUEL HEATER,HEAT EXCHANGER,22-ORU,C,,,,,
STR-2196,BFW Strainer,STRAINER,20-CTU,,,,,,
STR-3202A,CS Strainer,STRAINER,22-ORU,,,,,,
P-3401B,SPENT CAUSTIC WASH GASOLINE PUMP,PUMP,22-ORU,,,,,,
E-750B,DEISOBUTENIZER CONDENSER,HEAT EXCHANGER,23-OCU,,,,,,
F-760B,OCU C4 FEED FILTERS,FILTER,23-OCU,,,OCU C4 Feed Filters,Cartridge,70,11.0
Z-820,DEDECTANIZER EJECTOR SYSTEM,MISCELLANEOUS ITEM,24-ARU,C,,Dedectanizer Ejector System,,,
E-821,DEDECTANIZER OVERHEAD PRODUCT HEATER,HEAT EXCHANGER,24-ARU,A,,Dedectanizer Overhead Product Heater,,,
STR-8401B,HC Strainer,STRAINER,24-ARU,,,,,,
P-876B,SRC BOTTOMS PUMPS,PUMP,24-ARU,B,,,,,
STR-8702A,Water+HC Strainer,STRAINER,24-ARU,,,,,,
T-881B,CLAY TOWER,TOWER,24-ARU,C,,Clay Tower,,4700,30 / FV
STR-8801A,HC Strainer,STRAINER,24-ARU,,,,,,
STR-9600,Nitrogen Strainer,STRAINER,24-ARU,,,,,,
STR-9603,Nitrogen Strainer,STRAINER,24-ARU,,,,,,
Z-819,CORROSION INHIBITOR INJECTION PACKAGE,MISCELLANEOUS ITEM,24-ARU,C,,Corrosion Inhibitor Injection Package,,,
ZM-2101-2A,RECIRCULATOR DRIVE,DRIVER,20-CTU,B,,,,,
STR-2020A,STRAINER FOR DEARATOR,STRAINER,20-CTU,B,,STRAINER TO DEAERATOR,Basket,14,150
C-2050B-P1B,LUBE OIL PUMP FOR CM-2050B,PUMP LUBE OIL,20-CTU,C,,,,,
C-2400D,COOLING TOWER FAN,FAN,20-CTU,B,,,,,
C-2400J,COOLING TOWER FAN,FAN,20-CTU,B,,,,,
D-2101,AIR RECEIVER DRUM,DRUM,20-CTU,B,,,,,
DSH-2004B,STEAM DESUPERHEATER,DESUPERHEATER,20-CTU,C,,Steam Desuperheater,,,
F-2052B,PFO FILTER FOR BOILER,FILTER,20-CTU,,,,,,
P-2050B,SCALE CONTROL PUMP FOR FURNACE,PUMP,20-CTU,,,,,,
STR-8502A,HC Strainer,STRAINER,24-ARU,,,,,,
STR-8705,Nitrogen Strainer,STRAINER,24-ARU,,,,,,
P-890A,TOLUENE REFLUX PUMPS,PUMP,24-ARU,B,,,,,
P-963B,OILY WATER SLOP PUMPS,PUMP,24-ARU,C,,,,,
STR-1011D,STRAINER FOR P-1010A/B/C/D,STRAINER,29-TFU,C,,,,,
STR-1211A,STRAINER FOR P-1210A/B/C,STRAINER,29-TFU,C,,,,,
P-1213B,STEAM CONDENSATE RETURN PUMP,PUMP,29-TFU,B,,,,,
STR-1213B,Condensate Strainer,STRAINER,29-TFU,B,,,,,
PIT-3034,IMPOUNDING BASIN,PIT AND BASIN,20-CTU,,,,,,
P-3033B,DIVERSION BOX#3 WASTE TRANSFER PUMP,PUMP,20-CTU,C,,,,,
P-1610B,CKB EXPORT PUMP,PUMP,29-TFU,C,,,,,
C-100F,INDUCED DRAFT FAN (LIQUID CRACKING FURNACE),FAN,21-CFU,A,,,,,
C-100G,INDUCED DRAFT FAN (LIQUID CRACKING FURNACE),FAN,21-CFU,A,,,,,
C-2400C,COOLING TOWER FAN,FAN,20-CTU,B,,,,,
C-2400L,COOLING TOWER FAN,FAN,20-CTU,B,,,,,
DSH-2003A,STEAM DESUPERHEATER,DESUPERHEATER,20-CTU,C,,Steam Desuperheater,,,
F-2102G,DYNASAND FILTRATION SYSTEM,FILTER,20-CTU,,,,,,
F-2400G,CW SIDE STREAM FILTER,FILTER,20-CTU,,,,,,
P-1550B,TOLUENE EXPORT PUMP,PUMP,29-TFU,B,,Toluene Feed Pump,CENTRIFUGAL (Vertical),,
P-2021C-P1A,LUBE OIL PUMP FOR PM-2021 C,PUMP LUBE OIL,20-CTU,B,,,,,
P-2400A-P1A,LUBE OIL FOR PT-2400A,PUMP LUBE OIL,20-CTU,B,,,,,
P-2800C-P1A,LUBE OIL PUMP FOR C-2800C,PUMP LUBE OIL,20-CTU,B,,,,,
C-2400F,COOLING TOWER FAN,FAN,20-CTU,B,,,,,
E-120R1,TRANSFERLINE EXCHANGER (RECYCLE GAS CRACKING FURNACE),HEAT EXCHANGER,21-CFU,A,,,,,
F-2102H,DYNASAND FILTRATION SYSTEM,FILTER,20-CTU,,,,,,
F-2204,HCl SCUBBER,SCRUBBER,20-CTU,,,,,,
P-1530A,AROMATIC EXTRACTION FEED PUMP,PUMP,29-TFU,B,,Aromatic Extract Pump,CENTRIFUGAL (Vertical),,
P-239B,QW/PW PH CONTROL PUMP,PUMP,22-ORU,,,,,,
P-259C,CHEMICAL INJECTION PUMP,PUMP,22-ORU,,,Chemical Injection Pump,"Metering
(Air Driven)",,
P-269D,CHEMICAL INJECTION PUMP,PUMP,22-ORU,,,,,,
P-269E,CHEMICAL INJECTION PUMP,PUMP,22-ORU,,,Chemical Injection Pump,"Metering
(Air Driven)",,
P-960B,HYDROCARBON SUMP PUMPS,PUMP,24-ARU,B,,,,,
PIT-4002,FIRE WATER POND 2,PIT AND BASIN,20-CTU,,,,,,
STR-1311A,STRAINER FOR P-1310A/B/C,STRAINER,29-TFU,B,,,,,
STR-1421,STRAINER FOR P-1420,STRAINER,29-TFU,C,,,,,
STR-2162A,STRIANER FOR P-2162A/B/C,STRAINER,20-CTU,C,,,,,
STR-2163A,STRAINER FOR P-2163A/B/C,STRAINER,20-CTU,C,,,,,
STR-2200B,STRAINER FOR P-2200A/B,STRAINER,20-CTU,C,,,,,
D-100D,SHP STEAM DRUM (LIQUID CRACKING FURNACE),DRUM,21-CFU,A,,,,,
ZZ-120R,GK6 STEAMDRUM RELIEF VALVE SILENCER (LIQUID CRACKING FURNACE),SILENCER,21-CFU,,,,,,
ZZ-123R,SMK STEAMDRUM RELIEF VALVE SILENCER (RECYCLE GAS CRACKING FURNACE),SILENCER,21-CFU,,,,,,
ZZ-2000A,SHP STEAM BLOWDOWN SYSTEM RELIEF VALVE SILENCER,SILENCER,21-CFU,A,,,,,
ZZ-101G,GK6 SHP STEAM START-UP SILENCER (LIQUID CRACKING FURNACE),SILENCER,21-CFU,A,,,,,
ZZ-103G,GK6 STEAMDRUM RELIEF VALVE SILENCER (LIQUID CRACKING FURNACE),SILENCER,21-CFU,A,,,,,
P-001A,CONDENSATE PUMP FOR E-001,PUMP,21-CFU,C,,Condensate Pump for E-001,Centrifugal,,
E-540B,C2 TOWER CONDENSER,HEAT EXCHANGER,22-ORU,A,,C2 Tower Condenser,"Core Block 
 Exchanger",,
STR-305A,HL Strainer,STRAINER,22-ORU,,,,,,
D-303,CGC 3RD STAGE SUCTION DRUM,DRUM,22-ORU,A,,CGC 3rd Stage Suction Drum,Vertical,121,7.6
E-405B,DEMETHANIZER FEED COOLER NO. 4,HEAT EXCHANGER,22-ORU,,,Demethanizer Feed Cooler No. 4,H-BKM,,
STR-410,HV Strainer,STRAINER,22-ORU,A,,,,,
STR-502A,LC2 Strainer,STRAINER,22-ORU,C,,,,,
DSH-601,E-605 DSH,DESUPERHEATER,22-ORU,,,E-605 DSH,,,
STR-602A,LC2 Strainer,STRAINER,22-ORU,C,,,,,
STR-600B,HL Strainer,STRAINER,22-ORU,B,,,,,
STR-604A,HL Strainer,STRAINER,22-ORU,B,,,,,
STR-694,C3R Strainer,STRAINER,22-ORU,,,,,,
STR-702A,PG Strainer,STRAINER,22-ORU,C,,,,,
P-1010D,NAPHTHA FEED PUMP,PUMP,29-TFU,A,,Naphtha feed pump,CENTRIFUGAL (Vertical),,
P-2101B,INTERMEDIATE WATER PUMP,PUMP,20-CTU,B,,,,,
P-2300B,POTABLE WATER PUMP,PUMP,20-CTU,B,,,,,
P-2400C,COOLING WATER PUMP,PUMP,20-CTU,B,,,,,
